13/09/2019 16:24
Longitud de onda (nm)	10mm Absorbance
//WLCalib: Shift 	0,23667	
//WLCalib: 261S 	-0,08000	
//WLCalib: 362S 	-0,58000	
//WLCalib: 484S 	-0,83000	
//WLCalib: 529S 	-0,65000	
//WLCalib: 823S 	-0,29000	
//QSpecEnd: 
190,0	1,605
190,5	1,654
191,0	1,699
191,5	1,736
192,0	1,766
192,5	1,790
193,0	1,809
193,5	1,825
194,0	1,841
194,5	1,857
195,0	1,874
195,5	1,890
196,0	1,904
196,5	1,914
197,0	1,919
197,5	1,918
198,0	1,913
198,5	1,904
199,0	1,895
199,5	1,889
200,0	1,889
200,5	1,897
201,0	1,910
201,5	1,930
202,0	1,954
202,5	1,979
203,0	2,005
203,5	2,031
204,0	2,056
204,5	2,077
205,0	2,096
205,5	2,111
206,0	2,122
206,5	2,132
207,0	2,139
207,5	2,144
208,0	2,149
208,5	2,152
209,0	2,155
209,5	2,156
210,0	2,155
210,5	2,153
211,0	2,153
211,5	2,153
212,0	2,152
212,5	2,149
213,0	2,147
213,5	2,145
214,0	2,144
214,5	2,146
215,0	2,149
215,5	2,157
216,0	2,170
216,5	2,183
217,0	2,200
217,5	2,220
218,0	2,243
218,5	2,270
219,0	2,301
219,5	2,335
220,0	2,371
220,5	2,407
221,0	2,440
221,5	2,471
222,0	2,501
222,5	2,528
223,0	2,551
223,5	2,579
224,0	2,628
224,5	2,659
225,0	2,659
225,5	2,634
226,0	2,578
226,5	2,496
227,0	2,390
227,5	2,275
228,0	2,170
228,5	2,093
229,0	2,046
229,5	1,992
230,0	1,939
230,5	1,907
231,0	1,871
231,5	1,832
232,0	1,795
232,5	1,764
233,0	1,745
233,5	1,731
234,0	1,720
234,5	1,709
235,0	1,699
235,5	1,695
236,0	1,680
236,5	1,665
237,0	1,653
237,5	1,637
238,0	1,629
238,5	1,620
239,0	1,611
239,5	1,601
240,0	1,591
240,5	1,579
241,0	1,565
241,5	1,553
242,0	1,541
242,5	1,525
243,0	1,511
243,5	1,495
244,0	1,476
244,5	1,454
245,0	1,429
245,5	1,403
246,0	1,374
246,5	1,348
247,0	1,322
247,5	1,296
248,0	1,270
248,5	1,244
249,0	1,218
249,5	1,190
250,0	1,163
250,5	1,136
251,0	1,111
251,5	1,089
252,0	1,069
252,5	1,049
253,0	1,033
253,5	1,017
254,0	1,003
254,5	0,990
255,0	0,977
255,5	0,964
256,0	0,953
256,5	0,945
257,0	0,935
257,5	0,927
258,0	0,920
258,5	0,913
259,0	0,907
259,5	0,902
260,0	0,895
260,5	0,889
261,0	0,885
261,5	0,880
