91119
09/11/2019 19:58
Longitud de onda (nm)	10mm Absorbance
//WLCalib: Shift 	0,23667	
//WLCalib: 261S 	-0,08000	
//WLCalib: 362S 	-0,58000	
//WLCalib: 484S 	-0,83000	
//WLCalib: 529S 	-0,65000	
//WLCalib: 823S 	-0,29000	
//QSpecEnd: 
190,0	1,516
190,5	1,568
191,0	1,615
191,5	1,656
192,0	1,689
192,5	1,715
193,0	1,738
193,5	1,756
194,0	1,775
194,5	1,794
195,0	1,813
195,5	1,830
196,0	1,844
196,5	1,856
197,0	1,861
197,5	1,860
198,0	1,855
198,5	1,847
199,0	1,839
199,5	1,834
200,0	1,840
200,5	1,842
201,0	1,852
201,5	1,868
202,0	1,888
202,5	1,912
203,0	1,939
203,5	1,966
204,0	1,993
204,5	2,018
205,0	2,040
205,5	2,051
206,0	2,061
206,5	2,070
207,0	2,077
207,5	2,082
208,0	2,087
208,5	2,091
209,0	2,095
209,5	2,094
210,0	2,091
210,5	2,088
211,0	2,085
211,5	2,085
212,0	2,083
212,5	2,081
213,0	2,081
213,5	2,079
214,0	2,074
214,5	2,068
215,0	2,068
215,5	2,073
216,0	2,085
216,5	2,103
217,0	2,124
217,5	2,149
218,0	2,178
218,5	2,203
219,0	2,231
219,5	2,261
220,0	2,294
220,5	2,327
221,0	2,360
221,5	2,391
222,0	2,419
222,5	2,468
223,0	2,489
223,5	2,506
224,0	2,501
224,5	2,483
225,0	2,433
225,5	2,347
226,0	2,236
226,5	2,116
227,0	1,994
227,5	1,898
228,0	1,787
228,5	1,710
229,0	1,645
229,5	1,596
230,0	1,546
230,5	1,496
231,0	1,453
231,5	1,413
232,0	1,375
232,5	1,340
233,0	1,309
233,5	1,282
234,0	1,256
234,5	1,233
235,0	1,213
235,5	1,195
236,0	1,179
236,5	1,165
237,0	1,151
237,5	1,136
238,0	1,123
238,5	1,110
239,0	1,098
239,5	1,086
240,0	1,074
240,5	1,063
241,0	1,052
241,5	1,041
242,0	1,029
242,5	1,016
243,0	1,001
243,5	0,985
244,0	0,967
244,5	0,947
245,0	0,924
245,5	0,901
246,0	0,877
246,5	0,854
247,0	0,832
247,5	0,811
248,0	0,790
248,5	0,769
249,0	0,747
249,5	0,725
250,0	0,703
250,5	0,681
251,0	0,661
251,5	0,641
252,0	0,624
252,5	0,608
253,0	0,593
253,5	0,579
254,0	0,567
254,5	0,557
255,0	0,546
255,5	0,536
256,0	0,527
256,5	0,519
257,0	0,511
257,5	0,503
258,0	0,496
258,5	0,489
259,0	0,483
259,5	0,478
260,0	0,473
260,5	0,468
261,0	0,464
261,5	0,460
